1741224446.048572311 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224455.425584425 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=147 ms
1741224455.536280669 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=158 ms
1741224455.635841688 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=157 ms
1741224455.730283602 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=151 ms
1741224455.821348448 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=138 ms
1741224455.926541581 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=141 ms
1741224456.038899859 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=153 ms
1741224456.119539494 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=132 ms
1741224456.216079451 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=128 ms
1741224456.251508170 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=59.8 ms
1741224456.407572333 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=115 ms
1741224456.601221260 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=206 ms
1741224456.697990222 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=201 ms
1741224456.811321520 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=212 ms
1741224457.022124794 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=314 ms
1741224457.128441949 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=316 ms
1741224457.257545566 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=338 ms
1741224457.331462065 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=312 ms
1741224457.434822160 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=316 ms
1741224457.542674347 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=323 ms
1741224457.624786011 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=301 ms
1741224457.736879284 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=313 ms
1741224457.824708065 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=301 ms
1741224457.891691423 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=257 ms
1741224458.004782716 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=267 ms
1741224458.147853616 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=308 ms
1741224458.265239996 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=325 ms
1741224458.377171265 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=335 ms
1741224458.475110251 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=330 ms
1741224458.578838353 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=331 ms
1741224458.681318432 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=329 ms
1741224458.792973695 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=339 ms
1741224458.848190815 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=294 ms
1741224458.961624115 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=307 ms
1741224459.018513269 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=261 ms
1741224459.107405070 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=248 ms
1741224459.229300542 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=268 ms
1741224459.344672881 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=282 ms
1741224459.424920508 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=261 ms
1741224459.546696977 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=280 ms
1741224459.626310591 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=261 ms
1741224459.718244454 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=248 ms
1741224459.790762924 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=221 ms
1741224459.902728195 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=232 ms
1741224460.017079513 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=245 ms
1741224460.124509691 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=249 ms
1741224460.241211057 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=263 ms
1741224460.334816955 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=257 ms
