1741223949.358660617 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741223961.453637809 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=107 ms
1741223961.559657959 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=112 ms
1741223961.663650067 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=115 ms
1741223961.777150368 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=129 ms
1741223961.883618526 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=134 ms
1741223961.998972864 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=147 ms
1741223962.096653845 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=141 ms
1741223962.193275803 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=138 ms
1741223962.289926763 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=133 ms
1741223962.408852173 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=151 ms
1741223962.509383211 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=149 ms
1741223962.621252479 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=161 ms
1741223962.824277595 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=160 ms
1741223963.034434856 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=166 ms
1741223963.124771687 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=153 ms
1741223963.211455444 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=142 ms
1741223963.300291245 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=132 ms
1741223963.386250988 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=113 ms
1741223963.488815067 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=116 ms
1741223963.602927380 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=128 ms
1741223963.700198352 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=125 ms
1741223963.804279462 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=128 ms
1741223964.020219840 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=140 ms
1741223964.125296970 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=144 ms
1741223964.227692046 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=147 ms
1741223964.311280740 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=126 ms
1741223964.384841232 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=99.3 ms
1741223964.495790481 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=111 ms
1741223964.603090656 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=114 ms
1741223964.708318789 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=116 ms
1741223964.833500327 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=136 ms
1741223964.930774299 64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=132 ms
1741223965.040718528 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=143 ms
1741223965.119492125 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=123 ms
1741223965.222613216 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=123 ms
1741223965.292836640 64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=94.7 ms
1741223965.396858748 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=99.7 ms
1741223965.503901918 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=106 ms
1741223965.620472281 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=116 ms
1741223965.724543391 64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=118 ms
1741223965.839016712 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=132 ms
1741223965.925465464 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=119 ms
1741223966.038169749 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=131 ms
1741223966.140887831 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=128 ms
1741223966.227122580 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=115 ms
1741223966.349370058 64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=136 ms
1741223966.453626172 64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=140 ms
1741223966.550081127 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=136 ms
1741223966.641365978 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=122 ms
1741223966.856906347 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=136 ms
1741223966.972789697 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=147 ms
1741223967.069596659 64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=144 ms
1741223967.162161536 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=132 ms
1741223967.247249260 64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=118 ms
1741223967.368529719 64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=139 ms
1741223967.597000351 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=162 ms
1741223967.800230471 64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=160 ms
1741223968.001588553 64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=158 ms
1741223968.191878410 64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=141 ms
1741223968.280035198 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=129 ms
1741223968.407471782 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=156 ms
1741223968.504605751 64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=153 ms
1741223968.599599676 64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=146 ms
1741223968.708759889 64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=153 ms
1741223968.798041699 64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=141 ms
1741223969.006688929 64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=145 ms
1741223969.235664571 64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=171 ms
1741223969.513736209 64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=143 ms
1741223969.579890550 64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=104 ms
1741223969.674253463 64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=98.0 ms
1741223969.788294775 64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=113 ms
1741223969.897868997 64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=114 ms
1741223970.012073312 64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=126 ms
1741223970.106549227 64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=122 ms
1741223970.211674358 64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=126 ms
1741223970.315331460 64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=130 ms
1741223970.416275506 64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=126 ms
1741223970.530152815 64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=139 ms
1741223970.627639790 64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=136 ms
1741223970.723559735 64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=132 ms
1741223970.835574006 64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=143 ms
1741223970.939822119 64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=146 ms
1741223971.039716144 64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=143 ms
1741223971.152654434 64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=155 ms
1741223971.251481438 64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=154 ms
1741223971.346644367 64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=151 ms
1741223971.527778040 64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=126 ms
1741223971.622497959 64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=121 ms
1741223971.726807074 64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=126 ms
1741223971.837627321 64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=132 ms
1741223971.941255422 64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=134 ms
1741223972.056092750 64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=147 ms
1741223972.157517806 64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=149 ms
1741223972.254849780 64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=147 ms
1741223972.418005087 64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=104 ms
1741223972.520273161 64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=107 ms
1741223972.628453354 64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=113 ms
1741223972.733971493 64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=116 ms
1741223972.844406732 64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=121 ms
1741223972.945523782 64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=123 ms
1741223973.148023887 64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=125 ms
1741223973.368961366 64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=139 ms
1741223973.463452281 64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=134 ms
1741223973.552823093 64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=121 ms
1741223973.649419051 64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=116 ms
1741223973.741688922 64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=104 ms
