1741224197.586013958 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224212.003427251 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=478 ms
1741224212.097976168 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=473 ms
1741224212.202313283 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=477 ms
1741224212.312173511 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=482 ms
1741224212.418259662 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=487 ms
1741224212.521913763 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=489 ms
1741224212.625649866 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=492 ms
1741224212.724318866 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=489 ms
1741224212.846124335 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=507 ms
1741224212.944574331 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=500 ms
1741224213.051063490 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=505 ms
1741224213.154184581 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=508 ms
1741224213.181956144 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=435 ms
1741224213.255409633 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=397 ms
1741224213.354532642 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=396 ms
1741224213.467862941 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=407 ms
1741224213.525175103 64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=358 ms
1741224213.613911901 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=346 ms
1741224213.716461981 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=343 ms
1741224213.825428189 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=345 ms
1741224213.931445339 64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=350 ms
1741224214.042957600 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=361 ms
1741224214.141045589 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=358 ms
1741224214.247958756 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=362 ms
1741224214.357257972 64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=369 ms
1741224214.450663866 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=364 ms
1741224214.554963980 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=367 ms
1741224214.670167316 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=382 ms
1741224214.767978299 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=376 ms
1741224214.866410295 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=373 ms
1741224214.969403383 64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=375 ms
1741224215.076192548 64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=381 ms
1741224215.173971530 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=378 ms
1741224215.278469648 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=378 ms
1741224215.383816784 64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=383 ms
1741224215.491187961 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=390 ms
1741224215.587841921 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=387 ms
1741224215.690090994 64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=388 ms
1741224215.797953181 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=391 ms
1741224215.897046189 64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=389 ms
1741224216.008854456 64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=400 ms
1741224216.113111570 64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=404 ms
1741224216.211064556 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=400 ms
1741224216.338622142 64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=425 ms
1741224216.422260838 64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=404 ms
1741224216.535958143 64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=410 ms
1741224216.651844492 64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=424 ms
1741224216.730776092 64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=401 ms
1741224216.852282556 64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=419 ms
1741224216.952264583 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=414 ms
1741224217.065388876 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=425 ms
1741224217.171157021 64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=429 ms
1741224217.351749682 64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=503 ms
1741224217.446694607 64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=499 ms
1741224217.560565916 64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=512 ms
1741224217.657022872 64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=508 ms
1741224217.771516192 64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=517 ms
1741224217.891051616 64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=528 ms
1741224217.997124766 64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=531 ms
1741224218.098969831 64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=527 ms
1741224218.204661974 64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=533 ms
1741224218.309316096 64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=530 ms
1741224218.419693334 64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=534 ms
1741224218.533722646 64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=548 ms
1741224218.636316726 64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=549 ms
1741224218.723935502 64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=537 ms
1741224218.836503785 64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=547 ms
1741224218.952868144 64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=560 ms
1741224219.048958092 64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=556 ms
1741224219.157959301 64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=563 ms
1741224219.259074351 64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=563 ms
1741224219.364448488 64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=569 ms
1741224219.480224835 64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=581 ms
1741224219.571162679 64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=570 ms
1741224219.674291769 64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=573 ms
1741224219.770096712 64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=569 ms
1741224219.875265845 64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=572 ms
1741224219.993582244 64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=584 ms
1741224220.097732355 64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=589 ms
1741224220.201692463 64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=592 ms
1741224220.302436505 64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=591 ms
1741224220.396175405 64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=584 ms
1741224220.512279759 64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=598 ms
1741224220.609616733 64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=591 ms
1741224220.723105033 64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=607 ms
1741224220.817292943 64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=601 ms
1741224220.932310275 64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=614 ms
1741224221.029677249 64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=608 ms
1741224221.133058345 64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=607 ms
1741224221.241910552 64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=616 ms
1741224221.344923640 64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=611 ms
1741224221.450091772 64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=616 ms
1741224221.562929060 64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=620 ms
1741224221.665170133 64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=617 ms
1741224221.780744476 64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=631 ms
1741224221.880627500 64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=629 ms
1741224221.985453626 64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=630 ms
1741224222.098991927 64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=636 ms
1741224222.205354084 64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=641 ms
1741224222.306705139 64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=629 ms
1741224222.417426384 64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=639 ms
1741224222.546491000 64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=664 ms
1741224222.635075797 64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=653 ms
1741224222.751940167 64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=668 ms
1741224222.846684087 64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=653 ms
1741224222.937058920 64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=647 ms
1741224223.257296412 64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=656 ms
1741224223.358799470 64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=660 ms
1741224223.461531553 64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=663 ms
1741224223.558375516 64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=660 ms
1741224223.658977555 64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=656 ms
1741224223.928264016 64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=614 ms
1741224223.973140925 64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=560 ms
1741224224.031440107 64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=514 ms
1741224224.077482041 64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=462 ms
1741224224.155457621 64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=436 ms
1741224224.250280544 64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=428 ms
1741224224.354247652 64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=430 ms
1741224224.458898773 64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=432 ms
1741224224.577259173 64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=445 ms
1741224224.693391528 64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=455 ms
1741224224.793361554 64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=456 ms
1741224224.883479381 64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=447 ms
1741224224.995773658 64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=458 ms
1741224225.110137977 64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=470 ms
1741224225.198248763 64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=458 ms
1741224225.312306075 64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=470 ms
1741224225.412204101 64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=469 ms
1741224225.522995347 64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=477 ms
1741224225.628433485 64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=482 ms
1741224225.740120749 64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=487 ms
1741224225.832310618 64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=481 ms
1741224225.938783776 64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=486 ms
1741224226.043108891 64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=489 ms
1741224226.119302436 64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=465 ms
1741224226.186144791 64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=430 ms
1741224226.289582888 64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=433 ms
1741224226.396551056 64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=437 ms
1741224226.409351316 64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=339 ms
1741224226.453145204 64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=293 ms
1741224226.549724162 64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=290 ms
1741224226.657891355 64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=293 ms
1741224226.773541699 64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=306 ms
1741224226.868736629 64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=301 ms
1741224226.973925762 64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=305 ms
1741224227.086236039 64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=316 ms
1741224227.192622196 64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=313 ms
1741224227.302349420 64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=314 ms
1741224227.405496512 64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=318 ms
1741224227.509402618 64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=322 ms
1741224227.616773795 64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=328 ms
