1741225446.315579354 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225460.886682785 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=23.4 ms
1741225461.109189297 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=43.9 ms
1741225461.198915116 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=29.0 ms
1741225461.304200251 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=32.6 ms
1741225461.393611063 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=24.2 ms
1741225461.493182082 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=23.4 ms
1741225461.598848225 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=23.1 ms
1741225461.703640350 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=26.4 ms
1741225461.975906870 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=88.6 ms
1741225462.034409056 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=51.3 ms
1741225462.161546633 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=79.2 ms
1741225462.238207188 64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=52.3 ms
1741225462.334844147 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=47.9 ms
1741225462.475133992 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=86.0 ms
1741225462.571015935 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=81.6 ms
1741225462.633132195 64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=42.4 ms
1741225462.780984192 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=87.9 ms
1741225462.880275205 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=84.1 ms
1741225463.023270105 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=126 ms
1741225463.132755324 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=133 ms
1741225463.210809907 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=112 ms
1741225463.352481779 64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=152 ms
1741225463.521164199 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=118 ms
1741225463.625660317 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=119 ms
1741225463.704723921 64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=99.8 ms
1741225463.796028772 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=90.2 ms
1741225463.885218580 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=76.1 ms
1741225464.079642521 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=69.8 ms
1741225464.153555020 64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=43.4 ms
1741225464.236150695 64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=26.3 ms
1741225464.334888697 64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=23.4 ms
1741225464.445745945 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=31.7 ms
1741225464.538817832 64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=22.8 ms
1741225464.641634916 64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=25.3 ms
1741225464.741466940 64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=23.8 ms
1741225464.844631033 64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=25.7 ms
1741225464.948271134 64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=24.6 ms
1741225465.153006285 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=25.9 ms
1741225465.248659225 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=24.1 ms
1741225465.353935360 64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=25.8 ms
1741225465.473490784 64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=39.7 ms
