1741225693.797630031 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225717.378204123 64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=354 ms
1741225717.449274563 64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=216 ms
1741225717.682088284 64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=239 ms
1741225717.776936206 64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=235 ms
1741225718.027202281 64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=282 ms
1741225718.139150550 64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=294 ms
1741225718.225089293 64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=276 ms
1741225718.236535525 64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=184 ms
1741225718.301644845 64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=47.4 ms
1741225718.377344380 64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=24.5 ms
1741225718.479719455 64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=24.3 ms
1741225718.584098572 64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=23.5 ms
1741225718.716130248 64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=53.3 ms
1741225718.836859696 64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=72.7 ms
1741225718.938815763 64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=76.1 ms
1741225719.035174717 64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=71.6 ms
1741225719.149066026 64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=85.9 ms
1741225719.241333897 64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=73.3 ms
1741225719.339004877 64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=68.5 ms
1741225719.426734656 64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=58.2 ms
1741225719.538229916 64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=69.6 ms
1741225719.659752380 64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=88.8 ms
1741225719.761876450 64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=87.2 ms
1741225719.868525613 64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=91.3 ms
1741225719.954276351 64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=79.6 ms
1741225720.002726334 64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=26.9 ms
1741225720.101195330 64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=24.3 ms
1741225720.204565425 64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=25.4 ms
1741225720.316187689 64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=36.2 ms
1741225720.414602684 64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=33.5 ms
1741225720.544284313 64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=62.1 ms
1741225720.664256745 64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=74.5 ms
1741225720.774036971 64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=86.7 ms
1741225720.869843914 64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=82.2 ms
1741225720.982797204 64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=94.7 ms
1741225721.216685946 64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=128 ms
1741225721.331589275 64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=137 ms
1741225721.428733245 64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=133 ms
1741225721.544061583 64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=144 ms
1741225721.799996772 64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=194 ms
1741225721.941232636 64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=232 ms
1741225722.119512250 64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=210 ms
1741225722.323462385 64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=208 ms
1741225722.402787994 64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=187 ms
1741225722.508666140 64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=191 ms
1741225722.677917572 64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=259 ms
1741225723.036214836 64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=311 ms
1741225723.189531945 64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=363 ms
1741225723.270266581 64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=340 ms
1741225723.368707577 64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=332 ms
1741225723.546497182 64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=407 ms
1741225723.792284165 64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=447 ms
1741225723.885050046 64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=442 ms
1741225724.182587079 64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=425 ms
1741225724.274027932 64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=419 ms
1741225724.388935263 64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=433 ms
1741225724.477082049 64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=420 ms
1741225724.777767145 64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=412 ms
1741225724.834274291 64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=367 ms
1741225724.932146275 64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=261 ms
1741225724.972130086 64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=199 ms
1741225725.221613144 64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=233 ms
1741225725.322036180 64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=236 ms
1741225725.425752283 64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=236 ms
1741225725.547984762 64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=257 ms
1741225725.618382189 64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=227 ms
1741225725.629980424 64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=132 ms
1741225725.664534124 64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=70.7 ms
1741225725.819692270 64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=22.6 ms
1741225725.922777360 64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=25.3 ms
1741225726.022486381 64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=23.1 ms
1741225726.126905498 64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=25.3 ms
1741225726.227890546 64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=24.0 ms
1741225726.327083557 64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=22.7 ms
1741225726.644722997 64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=25.4 ms
1741225726.738525899 64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=23.1 ms
1741225726.840195960 64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=24.2 ms
1741225726.940684998 64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=23.7 ms
1741225727.045218117 64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=25.3 ms
1741225727.149076223 64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=24.5 ms
1741225727.247626221 64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=24.3 ms
1741225727.448398291 64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=22.7 ms
1741225727.553253417 64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=23.1 ms
1741225727.653709454 64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=24.0 ms
1741225727.753302473 64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=23.4 ms
1741225727.854738529 64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=24.3 ms
1741225727.957812619 64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=25.5 ms
1741225728.059287677 64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=23.1 ms
1741225728.163848797 64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=24.2 ms
1741225728.262457796 64 bytes from 10.0.0.2: icmp_seq=339 ttl=64 time=23.9 ms
1741225728.361795810 64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=22.4 ms
1741225728.464800899 64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=22.0 ms
1741225728.572068073 64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=23.6 ms
1741225728.668855036 64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=24.4 ms
1741225728.772024128 64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=25.8 ms
1741225728.954498828 64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=104 ms
1741225729.075814287 64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=125 ms
1741225729.222308258 64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=167 ms
1741225729.585767626 64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=226 ms
1741225729.672390383 64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=211 ms
1741225729.770816378 64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=205 ms
1741225729.829340565 64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=163 ms
1741225729.907546151 64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=139 ms
1741225730.142724918 64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=166 ms
1741225730.271214524 64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=194 ms
